id_emplacement,code_emplacement,id_entrepot,zone,type_emplacement,actif,Volume (m3),Unnamed: 7,floor,position,full_code,x,y,z,dist_from_receipt,dist_from_expedition,total_distance
824,0H-02-01,235,B7-PCK,PICKING,True,,,0H,02-01,0H-02-01,1,2,0,3,5,8
828,0H-02-02,235,B7-PCK,PICKING,True,,,0H,02-02,0H-02-02,2,2,0,4,4,8
832,0H-02-03,235,B7-PCK,PICKING,True,,,0H,02-03,0H-02-03,3,2,0,5,3,8
836,0H-03-01,235,B7-PCK,PICKING,True,,,0H,03-01,0H-03-01,1,3,0,4,4,8
840,0H-03-02,235,B7-PCK,PICKING,True,,,0H,03-02,0H-03-02,2,3,0,5,3,8
844,0H-03-03,235,B7-PCK,PICKING,True,,,0H,03-03,0H-03-03,3,3,0,6,2,8
848,0I-01-01,235,B7-PCK,PICKING,True,,,0I,01-01,0I-01-01,1,1,0,2,6,8
852,0I-01-02,235,B7-PCK,PICKING,True,,,0I,01-02,0I-01-02,2,1,0,3,5,8
856,0I-01-03,235,B7-PCK,PICKING,True,,,0I,01-03,0I-01-03,3,1,0,4,4,8
860,0I-02-01,235,B7-PCK,PICKING,True,,,0I,02-01,0I-02-01,1,2,0,3,5,8
894,0I-02-02,235,B7-PCK,PICKING,True,,,0I,02-02,0I-02-02,2,2,0,4,4,8
898,0I-02-03,235,B7-PCK,PICKING,True,,,0I,02-03,0I-02-03,3,2,0,5,3,8
902,0K-01-01,235,B7-PCK,PICKING,True,,,0K,01-01,0K-01-01,1,1,0,2,6,8
906,0K-01-02,235,B7-PCK,PICKING,True,,,0K,01-02,0K-01-02,2,1,0,3,5,8
910,0K-01-03,235,B7-PCK,PICKING,True,,,0K,01-03,0K-01-03,3,1,0,4,4,8
914,0K-02-01,235,B7-PCK,PICKING,True,,,0K,02-01,0K-02-01,1,2,0,3,5,8
918,0K-02-02,235,B7-PCK,PICKING,True,,,0K,02-02,0K-02-02,2,2,0,4,4,8
922,0K-02-03,235,B7-PCK,PICKING,True,,,0K,02-03,0K-02-03,3,2,0,5,3,8
926,0K-03-01,235,B7-PCK,PICKING,True,,,0K,03-01,0K-03-01,1,3,0,4,4,8
930,0K-03-02,235,B7-PCK,PICKING,True,,,0K,03-02,0K-03-02,2,3,0,5,3,8
934,0K-03-03,235,B7-PCK,PICKING,True,,,0K,03-03,0K-03-03,3,3,0,6,2,8
974,0M-01-01,235,B7-PCK,PICKING,True,,,0M,01-01,0M-01-01,1,1,0,2,6,8
978,0M-01-02,235,B7-PCK,PICKING,True,,,0M,01-02,0M-01-02,2,1,0,3,5,8
982,0M-01-03,235,B7-PCK,PICKING,True,,,0M,01-03,0M-01-03,3,1,0,4,4,8
986,0M-02-01,235,B7-PCK,PICKING,True,,,0M,02-01,0M-02-01,1,2,0,3,5,8
990,0M-02-02,235,B7-PCK,PICKING,True,,,0M,02-02,0M-02-02,2,2,0,4,4,8
994,0M-02-03,235,B7-PCK,PICKING,True,,,0M,02-03,0M-02-03,3,2,0,5,3,8
938,0N-01-01,235,B7-PCK,PICKING,True,,,0N,01-01,0N-01-01,1,1,0,2,6,8
942,0N-01-02,235,B7-PCK,PICKING,True,,,0N,01-02,0N-01-02,2,1,0,3,5,8
946,0N-01-03,235,B7-PCK,PICKING,True,,,0N,01-03,0N-01-03,3,1,0,4,4,8
950,0N-02-01,235,B7-PCK,PICKING,True,,,0N,02-01,0N-02-01,1,2,0,3,5,8
954,0N-02-02,235,B7-PCK,PICKING,True,,,0N,02-02,0N-02-02,2,2,0,4,4,8
958,0N-02-03,235,B7-PCK,PICKING,True,,,0N,02-03,0N-02-03,3,2,0,5,3,8
962,0N-03-01,235,B7-PCK,PICKING,True,,,0N,03-01,0N-03-01,1,3,0,4,4,8
966,0N-03-02,235,B7-PCK,PICKING,True,,,0N,03-02,0N-03-02,2,3,0,5,3,8
970,0N-03-03,235,B7-PCK,PICKING,True,,,0N,03-03,0N-03-03,3,3,0,6,2,8
998,0P-01-01,235,B7-PCK,PICKING,True,,,0P,01-01,0P-01-01,1,1,0,2,6,8
1002,0P-01-02,235,B7-PCK,PICKING,True,,,0P,01-02,0P-01-02,2,1,0,3,5,8
1006,0P-01-03,235,B7-PCK,PICKING,True,,,0P,01-03,0P-01-03,3,1,0,4,4,8
1010,0P-02-01,235,B7-PCK,PICKING,True,,,0P,02-01,0P-02-01,1,2,0,3,5,8
1014,0P-02-02,235,B7-PCK,PICKING,True,,,0P,02-02,0P-02-02,2,2,0,4,4,8
1018,0P-02-03,235,B7-PCK,PICKING,True,,,0P,02-03,0P-02-03,3,2,0,5,3,8
1022,0Q-01-01,235,B7-PCK,PICKING,True,,,0Q,01-01,0Q-01-01,1,1,0,2,6,8
1026,0Q-01-02,235,B7-PCK,PICKING,True,,,0Q,01-02,0Q-01-02,2,1,0,3,5,8
1030,0Q-01-03,235,B7-PCK,PICKING,True,,,0Q,01-03,0Q-01-03,3,1,0,4,4,8
1034,0Q-02-01,235,B7-PCK,PICKING,True,,,0Q,02-01,0Q-02-01,1,2,0,3,5,8
1038,0Q-02-02,235,B7-PCK,PICKING,True,,,0Q,02-02,0Q-02-02,2,2,0,4,4,8
1042,0Q-02-03,235,B7-PCK,PICKING,True,,,0Q,02-03,0Q-02-03,3,2,0,5,3,8
1046,0Q-03-01,235,B7-PCK,PICKING,True,,,0Q,03-01,0Q-03-01,1,3,0,4,4,8
1050,0Q-03-02,235,B7-PCK,PICKING,True,,,0Q,03-02,0Q-03-02,2,3,0,5,3,8
1054,0Q-03-03,235,B7-PCK,PICKING,True,,,0Q,03-03,0Q-03-03,3,3,0,6,2,8
1058,0R-01-01,235,B7-PCK,PICKING,True,,,0R,01-01,0R-01-01,1,1,0,2,6,8
1062,0R-01-02,235,B7-PCK,PICKING,True,,,0R,01-02,0R-01-02,2,1,0,3,5,8
1066,0R-01-03,235,B7-PCK,PICKING,True,,,0R,01-03,0R-01-03,3,1,0,4,4,8
1070,0R-02-01,235,B7-PCK,PICKING,True,,,0R,02-01,0R-02-01,1,2,0,3,5,8
1074,0R-02-02,235,B7-PCK,PICKING,True,,,0R,02-02,0R-02-02,2,2,0,4,4,8
1078,0R-02-03,235,B7-PCK,PICKING,True,,,0R,02-03,0R-02-03,3,2,0,5,3,8
1082,0S-01-01,235,B7-PCK,PICKING,True,,,0S,01-01,0S-01-01,1,1,0,2,6,8
1086,0S-01-02,235,B7-PCK,PICKING,True,,,0S,01-02,0S-01-02,2,1,0,3,5,8
1098,0S-01-03,235,B7-PCK,PICKING,True,,,0S,01-03,0S-01-03,3,1,0,4,4,8
1102,0S-02-01,235,B7-PCK,PICKING,True,,,0S,02-01,0S-02-01,1,2,0,3,5,8
1342,0S-02-02,235,B7-PCK,PICKING,True,,,0S,02-02,0S-02-02,2,2,0,4,4,8
1109,0S-02-03,235,B7-PCK,PICKING,True,,,0S,02-03,0S-02-03,3,2,0,5,3,8
1113,0S-03-01,235,B7-PCK,PICKING,True,,,0S,03-01,0S-03-01,1,3,0,4,4,8
1117,0S-03-02,235,B7-PCK,PICKING,True,,,0S,03-02,0S-03-02,2,3,0,5,3,8
1121,0S-03-03,235,B7-PCK,PICKING,True,,,0S,03-03,0S-03-03,3,3,0,6,2,8
1125,0T-01-01,235,B7-PCK,PICKING,True,,,0T,01-01,0T-01-01,1,1,0,2,6,8
1129,0T-01-02,235,B7-PCK,PICKING,True,,,0T,01-02,0T-01-02,2,1,0,3,5,8
1133,0T-01-03,235,B7-PCK,PICKING,True,,,0T,01-03,0T-01-03,3,1,0,4,4,8
1137,0T-02-01,235,B7-PCK,PICKING,True,,,0T,02-01,0T-02-01,1,2,0,3,5,8
1141,0T-02-02,235,B7-PCK,PICKING,True,,,0T,02-02,0T-02-02,2,2,0,4,4,8
1145,0T-02-03,235,B7-PCK,PICKING,True,,,0T,02-03,0T-02-03,3,2,0,5,3,8
1149,0V-01-01,235,B7-PCK,PICKING,True,,,0V,01-01,0V-01-01,1,1,0,2,6,8
1153,0V-01-02,235,B7-PCK,PICKING,True,,,0V,01-02,0V-01-02,2,1,0,3,5,8
1157,0V-01-03,235,B7-PCK,PICKING,True,,,0V,01-03,0V-01-03,3,1,0,4,4,8
1161,0V-02-01,235,B7-PCK,PICKING,True,,,0V,02-01,0V-02-01,1,2,0,3,5,8
1165,0V-02-02,235,B7-PCK,PICKING,True,,,0V,02-02,0V-02-02,2,2,0,4,4,8
1169,0V-02-03,235,B7-PCK,PICKING,True,,,0V,02-03,0V-02-03,3,2,0,5,3,8
1173,0V-03-01,235,B7-PCK,PICKING,True,,,0V,03-01,0V-03-01,1,3,0,4,4,8
1177,0V-03-02,235,B7-PCK,PICKING,True,,,0V,03-02,0V-03-02,2,3,0,5,3,8
1181,0V-03-03,235,B7-PCK,PICKING,True,,,0V,03-03,0V-03-03,3,3,0,6,2,8
1185,0W-01-01,235,B7-PCK,PICKING,True,,,0W,01-01,0W-01-01,1,1,0,2,6,8
1189,0W-01-02,235,B7-PCK,PICKING,True,,,0W,01-02,0W-01-02,2,1,0,3,5,8
1193,0W-01-03,235,B7-PCK,PICKING,True,,,0W,01-03,0W-01-03,3,1,0,4,4,8
1197,0W-02-01,235,B7-PCK,PICKING,True,,,0W,02-01,0W-02-01,1,2,0,3,5,8
1201,0W-02-02,235,B7-PCK,PICKING,True,,,0W,02-02,0W-02-02,2,2,0,4,4,8
1205,0W-02-03,235,B7-PCK,PICKING,True,,,0W,02-03,0W-02-03,3,2,0,5,3,8
1209,0W-03-01,235,B7-PCK,PICKING,True,,,0W,03-01,0W-03-01,1,3,0,4,4,8
1213,0W-03-02,235,B7-PCK,PICKING,True,,,0W,03-02,0W-03-02,2,3,0,5,3,8
1217,0W-03-03,235,B7-PCK,PICKING,True,,,0W,03-03,0W-03-03,3,3,0,6,2,8
1221,0W-04-01,235,B7-PCK,PICKING,True,,,0W,04-01,0W-04-01,1,4,0,5,3,8
1225,0W-04-02,235,B7-PCK,PICKING,True,,,0W,04-02,0W-04-02,2,4,0,6,2,8
1229,0W-04-03,235,B7-PCK,PICKING,True,,,0W,04-03,0W-04-03,3,4,0,7,1,8
1233,0W-05-01,235,B7-PCK,PICKING,True,,,0W,05-01,0W-05-01,1,5,0,6,2,8
1237,0W-05-02,235,B7-PCK,PICKING,True,,,0W,05-02,0W-05-02,2,5,0,7,1,8
1241,0W-05-03,235,B7-PCK,PICKING,True,,,0W,05-03,0W-05-03,3,5,0,8,0,8
1245,0X-01-01,235,B7-PCK,PICKING,True,,,0X,01-01,0X-01-01,1,1,0,2,6,8
1249,0X-01-02,235,B7-PCK,PICKING,True,,,0X,01-02,0X-01-02,2,1,0,3,5,8
1253,0X-01-03,235,B7-PCK,PICKING,True,,,0X,01-03,0X-01-03,3,1,0,4,4,8
1257,0X-02-01,235,B7-PCK,PICKING,True,,,0X,02-01,0X-02-01,1,2,0,3,5,8
1261,0X-02-02,235,B7-PCK,PICKING,True,,,0X,02-02,0X-02-02,2,2,0,4,4,8
1265,0X-02-03,235,B7-PCK,PICKING,True,,,0X,02-03,0X-02-03,3,2,0,5,3,8
1269,0X-03-01,235,B7-PCK,PICKING,True,,,0X,03-01,0X-03-01,1,3,0,4,4,8
1273,0X-03-02,235,B7-PCK,PICKING,True,,,0X,03-02,0X-03-02,2,3,0,5,3,8
1277,0X-03-03,235,B7-PCK,PICKING,True,,,0X,03-03,0X-03-03,3,3,0,6,2,8
1281,0X-04-01,235,B7-PCK,PICKING,True,,,0X,04-01,0X-04-01,1,4,0,5,3,8
1285,0X-04-02,235,B7-PCK,PICKING,True,,,0X,04-02,0X-04-02,2,4,0,6,2,8
1289,0X-04-03,235,B7-PCK,PICKING,True,,,0X,04-03,0X-04-03,3,4,0,7,1,8
1293,0X-05-01,235,B7-PCK,PICKING,True,,,0X,05-01,0X-05-01,1,5,0,6,2,8
1299,0X-05-02,235,B7-PCK,PICKING,True,,,0X,05-02,0X-05-02,2,5,0,7,1,8
1305,0X-05-03,235,B7-PCK,PICKING,True,,,0X,05-03,0X-05-03,3,5,0,8,0,8
419,1A-01-01,235,B7-PCK,PICKING,True,,,1A,01-01,1A-01-01,0,0,0,0,8,8
423,1A-01-02,235,B7-PCK,PICKING,True,,,1A,01-02,1A-01-02,0,0,0,0,8,8
427,1A-01-03,235,B7-PCK,PICKING,True,,,1A,01-03,1A-01-03,0,0,0,0,8,8
431,1A-02-01,235,B7-PCK,PICKING,True,,,1A,02-01,1A-02-01,0,0,0,0,8,8
435,1A-02-02,235,B7-PCK,PICKING,True,,,1A,02-02,1A-02-02,0,0,0,0,8,8
439,1A-02-03,235,B7-PCK,PICKING,True,,,1A,02-03,1A-02-03,0,0,0,0,8,8
443,1B-01-01,235,B7-PCK,PICKING,True,,,1B,01-01,1B-01-01,0,0,0,0,8,8
447,1B-01-02,235,B7-PCK,PICKING,True,,,1B,01-02,1B-01-02,0,0,0,0,8,8
451,1B-01-03,235,B7-PCK,PICKING,True,,,1B,01-03,1B-01-03,0,0,0,0,8,8
455,1B-02-01,235,B7-PCK,PICKING,True,,,1B,02-01,1B-02-01,0,0,0,0,8,8
459,1B-02-02,235,B7-PCK,PICKING,True,,,1B,02-02,1B-02-02,0,0,0,0,8,8
463,1B-02-03,235,B7-PCK,PICKING,True,,,1B,02-03,1B-02-03,0,0,0,0,8,8
467,1B-03-01,235,B7-PCK,PICKING,True,,,1B,03-01,1B-03-01,0,0,0,0,8,8
471,1B-03-02,235,B7-PCK,PICKING,True,,,1B,03-02,1B-03-02,0,0,0,0,8,8
475,1B-03-03,235,B7-PCK,PICKING,True,,,1B,03-03,1B-03-03,0,0,0,0,8,8
479,1C-01-01,235,B7-PCK,PICKING,True,,,1C,01-01,1C-01-01,0,0,0,0,8,8
483,1C-01-02,235,B7-PCK,PICKING,True,,,1C,01-02,1C-01-02,0,0,0,0,8,8
487,1C-01-03,235,B7-PCK,PICKING,True,,,1C,01-03,1C-01-03,0,0,0,0,8,8
681,1C-02-01,235,B7-PCK,PICKING,True,,,1C,02-01,1C-02-01,0,0,0,0,8,8
685,1C-02-02,235,B7-PCK,PICKING,True,,,1C,02-02,1C-02-02,0,0,0,0,8,8
689,1C-02-03,235,B7-PCK,PICKING,True,,,1C,02-03,1C-02-03,0,0,0,0,8,8
693,1D-01-01,235,B7-PCK,PICKING,True,,,1D,01-01,1D-01-01,0,0,0,0,8,8
697,1D-01-02,235,B7-PCK,PICKING,True,,,1D,01-02,1D-01-02,0,0,0,0,8,8
701,1D-01-03,235,B7-PCK,PICKING,True,,,1D,01-03,1D-01-03,0,0,0,0,8,8
705,1D-02-01,235,B7-PCK,PICKING,True,,,1D,02-01,1D-02-01,0,0,0,0,8,8
709,1D-02-02,235,B7-PCK,PICKING,True,,,1D,02-02,1D-02-02,0,0,0,0,8,8
713,1D-02-03,235,B7-PCK,PICKING,True,,,1D,02-03,1D-02-03,0,0,0,0,8,8
717,1D-03-01,235,B7-PCK,PICKING,True,,,1D,03-01,1D-03-01,0,0,0,0,8,8
721,1D-03-02,235,B7-PCK,PICKING,True,,,1D,03-02,1D-03-02,0,0,0,0,8,8
725,1D-03-03,235,B7-PCK,PICKING,True,,,1D,03-03,1D-03-03,0,0,0,0,8,8
729,1E-01-01,235,B7-PCK,PICKING,True,,,1E,01-01,1E-01-01,0,0,0,0,8,8
733,1E-01-02,235,B7-PCK,PICKING,True,,,1E,01-02,1E-01-02,0,0,0,0,8,8
737,1E-01-03,235,B7-PCK,PICKING,True,,,1E,01-03,1E-01-03,0,0,0,0,8,8
741,1E-02-01,235,B7-PCK,PICKING,True,,,1E,02-01,1E-02-01,0,0,0,0,8,8
745,1E-02-02,235,B7-PCK,PICKING,True,,,1E,02-02,1E-02-02,0,0,0,0,8,8
749,1E-02-03,235,B7-PCK,PICKING,True,,,1E,02-03,1E-02-03,0,0,0,0,8,8
753,1F-01-01,235,B7-PCK,PICKING,True,,,1F,01-01,1F-01-01,0,0,0,0,8,8
757,1F-01-02,235,B7-PCK,PICKING,True,,,1F,01-02,1F-01-02,0,0,0,0,8,8
761,1F-01-03,235,B7-PCK,PICKING,True,,,1F,01-03,1F-01-03,0,0,0,0,8,8
765,1F-02-01,235,B7-PCK,PICKING,True,,,1F,02-01,1F-02-01,0,0,0,0,8,8
769,1F-02-02,235,B7-PCK,PICKING,True,,,1F,02-02,1F-02-02,0,0,0,0,8,8
773,1F-02-03,235,B7-PCK,PICKING,True,,,1F,02-03,1F-02-03,0,0,0,0,8,8
777,1F-03-01,235,B7-PCK,PICKING,True,,,1F,03-01,1F-03-01,0,0,0,0,8,8
781,1F-03-02,235,B7-PCK,PICKING,True,,,1F,03-02,1F-03-02,0,0,0,0,8,8
785,1F-03-03,235,B7-PCK,PICKING,True,,,1F,03-03,1F-03-03,0,0,0,0,8,8
789,1G-01-01,235,B7-PCK,PICKING,True,,,1G,01-01,1G-01-01,0,0,0,0,8,8
793,1G-01-02,235,B7-PCK,PICKING,True,,,1G,01-02,1G-01-02,0,0,0,0,8,8
797,1G-01-03,235,B7-PCK,PICKING,True,,,1G,01-03,1G-01-03,0,0,0,0,8,8
801,1G-02-01,235,B7-PCK,PICKING,True,,,1G,02-01,1G-02-01,0,0,0,0,8,8
805,1G-02-02,235,B7-PCK,PICKING,True,,,1G,02-02,1G-02-02,0,0,0,0,8,8
809,1G-02-03,235,B7-PCK,PICKING,True,,,1G,02-03,1G-02-03,0,0,0,0,8,8
813,1H-01-01,235,B7-PCK,PICKING,True,,,1H,01-01,1H-01-01,0,0,0,0,8,8
817,1H-01-02,235,B7-PCK,PICKING,True,,,1H,01-02,1H-01-02,0,0,0,0,8,8
821,1H-01-03,235,B7-PCK,PICKING,True,,,1H,01-03,1H-01-03,0,0,0,0,8,8
825,1H-02-01,235,B7-PCK,PICKING,True,,,1H,02-01,1H-02-01,0,0,0,0,8,8
829,1H-02-02,235,B7-PCK,PICKING,True,,,1H,02-02,1H-02-02,0,0,0,0,8,8
833,1H-02-03,235,B7-PCK,PICKING,True,,,1H,02-03,1H-02-03,0,0,0,0,8,8
837,1H-03-01,235,B7-PCK,PICKING,True,,,1H,03-01,1H-03-01,0,0,0,0,8,8
841,1H-03-02,235,B7-PCK,PICKING,True,,,1H,03-02,1H-03-02,0,0,0,0,8,8
845,1H-03-03,235,B7-PCK,PICKING,True,,,1H,03-03,1H-03-03,0,0,0,0,8,8
849,1I-01-01,235,B7-PCK,PICKING,True,,,1I,01-01,1I-01-01,0,0,0,0,8,8
853,1I-01-02,235,B7-PCK,PICKING,True,,,1I,01-02,1I-01-02,0,0,0,0,8,8
857,1I-01-03,235,B7-PCK,PICKING,True,,,1I,01-03,1I-01-03,0,0,0,0,8,8
861,1I-02-01,235,B7-PCK,PICKING,True,,,1I,02-01,1I-02-01,0,0,0,0,8,8
895,1I-02-02,235,B7-PCK,PICKING,True,,,1I,02-02,1I-02-02,0,0,0,0,8,8
899,1I-02-03,235,B7-PCK,PICKING,True,,,1I,02-03,1I-02-03,0,0,0,0,8,8
903,1K-01-01,235,B7-PCK,PICKING,True,,,1K,01-01,1K-01-01,0,0,0,0,8,8
907,1K-01-02,235,B7-PCK,PICKING,True,,,1K,01-02,1K-01-02,0,0,0,0,8,8
911,1K-01-03,235,B7-PCK,PICKING,True,,,1K,01-03,1K-01-03,0,0,0,0,8,8
915,1K-02-01,235,B7-PCK,PICKING,True,,,1K,02-01,1K-02-01,0,0,0,0,8,8
919,1K-02-02,235,B7-PCK,PICKING,True,,,1K,02-02,1K-02-02,0,0,0,0,8,8
923,1K-02-03,235,B7-PCK,PICKING,True,,,1K,02-03,1K-02-03,0,0,0,0,8,8
927,1K-03-01,235,B7-PCK,PICKING,True,,,1K,03-01,1K-03-01,0,0,0,0,8,8
931,1K-03-02,235,B7-PCK,PICKING,True,,,1K,03-02,1K-03-02,0,0,0,0,8,8
935,1K-03-03,235,B7-PCK,PICKING,True,,,1K,03-03,1K-03-03,0,0,0,0,8,8
975,1M-01-01,235,B7-PCK,PICKING,True,,,1M,01-01,1M-01-01,0,0,0,0,8,8
979,1M-01-02,235,B7-PCK,PICKING,True,,,1M,01-02,1M-01-02,0,0,0,0,8,8
983,1M-01-03,235,B7-PCK,PICKING,True,,,1M,01-03,1M-01-03,0,0,0,0,8,8
987,1M-02-01,235,B7-PCK,PICKING,True,,,1M,02-01,1M-02-01,0,0,0,0,8,8
991,1M-02-02,235,B7-PCK,PICKING,True,,,1M,02-02,1M-02-02,0,0,0,0,8,8
995,1M-02-03,235,B7-PCK,PICKING,True,,,1M,02-03,1M-02-03,0,0,0,0,8,8
939,1N-01-01,235,B7-PCK,PICKING,True,,,1N,01-01,1N-01-01,0,1,3,4,10,14
943,1N-01-02,235,B7-PCK,PICKING,True,,,1N,01-02,1N-01-02,0,2,3,5,9,14
947,1N-01-03,235,B7-PCK,PICKING,True,,,1N,01-03,1N-01-03,0,3,3,6,8,14
951,1N-02-01,235,B7-PCK,PICKING,True,,,1N,02-01,1N-02-01,0,1,3,4,10,14
955,1N-02-02,235,B7-PCK,PICKING,True,,,1N,02-02,1N-02-02,0,2,3,5,9,14
959,1N-02-03,235,B7-PCK,PICKING,True,,,1N,02-03,1N-02-03,0,3,3,6,8,14
963,1N-03-01,235,B7-PCK,PICKING,True,,,1N,03-01,1N-03-01,0,1,3,4,10,14
967,1N-03-02,235,B7-PCK,PICKING,True,,,1N,03-02,1N-03-02,0,2,3,5,9,14
971,1N-03-03,235,B7-PCK,PICKING,True,,,1N,03-03,1N-03-03,0,3,3,6,8,14
999,1P-01-01,235,B7-PCK,PICKING,True,,,1P,01-01,1P-01-01,0,0,0,0,8,8
1003,1P-01-02,235,B7-PCK,PICKING,True,,,1P,01-02,1P-01-02,0,0,0,0,8,8
1007,1P-01-03,235,B7-PCK,PICKING,True,,,1P,01-03,1P-01-03,0,0,0,0,8,8
1011,1P-02-01,235,B7-PCK,PICKING,True,,,1P,02-01,1P-02-01,0,0,0,0,8,8
1015,1P-02-02,235,B7-PCK,PICKING,True,,,1P,02-02,1P-02-02,0,0,0,0,8,8
1019,1P-02-03,235,B7-PCK,PICKING,True,,,1P,02-03,1P-02-03,0,0,0,0,8,8
